"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/12/2025","AQS","530330030","1","28.5","ppb","26","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/13/2025","AQS","530330030","1","62.1","ppb","60","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/14/2025","AQS","530330030","1","27.1","ppb","25","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/15/2025","AQS","530330030","1","27","ppb","25","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/16/2025","AQS","530330030","1","16.5","ppb","15","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/17/2025","AQS","530330030","1","27.1","ppb","25","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/18/2025","AQS","530330030","1","33.3","ppb","31","Seattle-10th & Weller","22","92.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/19/2025","AQS","530330030","1","19.5","ppb","18","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/20/2025","AQS","530330030","1","24.9","ppb","23","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/21/2025","AQS","530330030","1","29.3","ppb","27","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/22/2025","AQS","530330030","1","26.6","ppb","25","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/23/2025","AQS","530330030","1","36.9","ppb","34","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/24/2025","AQS","530330030","1","38.8","ppb","36","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/25/2025","AQS","530330030","1","14.3","ppb","13","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/26/2025","AQS","530330030","1","39.4","ppb","37","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/27/2025","AQS","530330030","1","40.6","ppb","38","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"02/28/2025","AQS","530330030","1","28.8","ppb","26","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/06/2025","AQS","530330030","1","39.2","ppb","37","Seattle-10th & Weller","20","83.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/07/2025","AQS","530330030","1","24.4","ppb","23","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/08/2025","AQS","530330030","1","22","ppb","21","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/09/2025","AQS","530330030","1","14.3","ppb","13","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/10/2025","AQS","530330030","1","26.3","ppb","25","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/11/2025","AQS","530330030","1","32.3","ppb","30","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/12/2025","AQS","530330030","1","31.3","ppb","29","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/13/2025","AQS","530330030","1","25.4","ppb","24","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/14/2025","AQS","530330030","1","23.7","ppb","22","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/15/2025","AQS","530330030","1","24.1","ppb","23","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/16/2025","AQS","530330030","1","22","ppb","21","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/17/2025","AQS","530330030","1","27.2","ppb","25","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/18/2025","AQS","530330030","1","32.3","ppb","30","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/19/2025","AQS","530330030","1","22.3","ppb","21","Seattle-10th & Weller","24","100.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
"03/20/2025","AQS","530330030","1","21","ppb","20","Seattle-10th & Weller","23","96.0000","42602","Nitrogen dioxide (NO2)","599","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","033","King","47.597222","-122.319722"
